,Fecha,Indicador,Territorio,Valor
368,2020-04-14T00:00:00,Casos recuperados,Salto,5
369,2020-04-14T00:00:00,Casos recuperados,San José,0
370,2020-04-14T00:00:00,Casos recuperados,Soriano,1
371,2020-04-14T00:00:00,Casos recuperados,Tacuarembó,0
372,2020-04-14T00:00:00,Casos recuperados,Treinta y Tres,0
373,2020-04-14T00:00:00,Fallecidos,Artigas,0
374,2020-04-14T00:00:00,Fallecidos,Canelones,2
375,2020-04-14T00:00:00,Fallecidos,Cerro Largo,0
376,2020-04-14T00:00:00,Fallecidos,Colonia,0
377,2020-04-14T00:00:00,Fallecidos,Durazno,0
378,2020-04-14T00:00:00,Fallecidos,Flores,0
379,2020-04-14T00:00:00,Fallecidos,Florida,0
380,2020-04-14T00:00:00,Fallecidos,Lavalleja,0
381,2020-04-14T00:00:00,Fallecidos,Maldonado,1
382,2020-04-14T00:00:00,Fallecidos,Montevideo,5
383,2020-04-14T00:00:00,Fallecidos,Paysandú,0
384,2020-04-14T00:00:00,Fallecidos,Río Negro,0
385,2020-04-14T00:00:00,Fallecidos,Rivera,0
386,2020-04-14T00:00:00,Fallecidos,Rocha,0
387,2020-04-14T00:00:00,Fallecidos,Salto,0
388,2020-04-14T00:00:00,Fallecidos,San José,0
389,2020-04-14T00:00:00,Fallecidos,Soriano,0
390,2020-04-14T00:00:00,Fallecidos,Tacuarembó,0
391,2020-04-14T00:00:00,Fallecidos,Treinta y Tres,0
392,2020-04-14T00:00:00,Personal de la salud  Confirmados ,Todo el país,80
393,2020-04-14T00:00:00,Personal de la salud  Recuperados ,Todo el país,0
394,2020-04-14T00:00:00,Personal de la salud  Activos ,Todo el país,0
395,2020-04-14T00:00:00,Personal de la salud  Fallecidos ,Todo el país,0
396,2020-04-14T00:00:00,Cantidad de Tests  Positivos ,Todo el país,12
397,2020-04-14T00:00:00,Cantidad de Tests  Negativos ,Todo el país,681
398,2020-04-14T00:00:00,Personas en CTI,Todo el país,14
399,2020-04-14T00:00:00,Personas en CI,Todo el país,0
400,2020-04-14T00:00:00,Fallecidos ,Todo el país,8
401,2020-04-14T00:00:00,Casos nuevos ,Todo el país,0
402,2020-04-15T00:00:00,Casos activos,Artigas,0
403,2020-04-15T00:00:00,Casos activos,Canelones,27
404,2020-04-15T00:00:00,Casos activos,Cerro Largo,0
405,2020-04-15T00:00:00,Casos activos,Colonia,5
406,2020-04-15T00:00:00,Casos activos,Durazno,0
407,2020-04-15T00:00:00,Casos activos,Flores,0
408,2020-04-15T00:00:00,Casos activos,Florida,0
409,2020-04-15T00:00:00,Casos activos,Lavalleja,4
410,2020-04-15T00:00:00,Casos activos,Maldonado,11
411,2020-04-15T00:00:00,Casos activos,Montevideo,148
412,2020-04-15T00:00:00,Casos activos,Paysandú,1
413,2020-04-15T00:00:00,Casos activos,Río Negro,8
414,2020-04-15T00:00:00,Casos activos,Rivera,0
415,2020-04-15T00:00:00,Casos activos,Rocha,0
416,2020-04-15T00:00:00,Casos activos,Salto,7
417,2020-04-15T00:00:00,Casos activos,San José,2
418,2020-04-15T00:00:00,Casos activos,Soriano,0
419,2020-04-15T00:00:00,Casos activos,Tacuarembó,0
420,2020-04-15T00:00:00,Casos activos,Treinta y Tres,0
421,2020-04-15T00:00:00,Casos recuperados,Artigas,0
422,2020-04-15T00:00:00,Casos recuperados,Canelones,49
423,2020-04-15T00:00:00,Casos recuperados,Cerro Largo,0
424,2020-04-15T00:00:00,Casos recuperados,Colonia,3
425,2020-04-15T00:00:00,Casos recuperados,Durazno,0
426,2020-04-15T00:00:00,Casos recuperados,Flores,1
427,2020-04-15T00:00:00,Casos recuperados,Florida,0
428,2020-04-15T00:00:00,Casos recuperados,Lavalleja,0
429,2020-04-15T00:00:00,Casos recuperados,Maldonado,7
430,2020-04-15T00:00:00,Casos recuperados,Montevideo,205
431,2020-04-15T00:00:00,Casos recuperados,Paysandú,0
432,2020-04-15T00:00:00,Casos recuperados,Río Negro,0
433,2020-04-15T00:00:00,Casos recuperados,Rivera,0
434,2020-04-15T00:00:00,Casos recuperados,Rocha,1
435,2020-04-15T00:00:00,Casos recuperados,Salto,5
436,2020-04-15T00:00:00,Casos recuperados,San José,0
437,2020-04-15T00:00:00,Casos recuperados,Soriano,1
438,2020-04-15T00:00:00,Casos recuperados,Tacuarembó,0
439,2020-04-15T00:00:00,Casos recuperados,Treinta y Tres,0
440,2020-04-15T00:00:00,Fallecidos,Artigas,0
441,2020-04-15T00:00:00,Fallecidos,Canelones,2
442,2020-04-15T00:00:00,Fallecidos,Cerro Largo,0
443,2020-04-15T00:00:00,Fallecidos,Colonia,0
444,2020-04-15T00:00:00,Fallecidos,Durazno,0
445,2020-04-15T00:00:00,Fallecidos,Flores,0
446,2020-04-15T00:00:00,Fallecidos,Florida,0
447,2020-04-15T00:00:00,Fallecidos,Lavalleja,0
448,2020-04-15T00:00:00,Fallecidos,Maldonado,1
449,2020-04-15T00:00:00,Fallecidos,Montevideo,5
450,2020-04-15T00:00:00,Fallecidos,Paysandú,0
451,2020-04-15T00:00:00,Fallecidos,Río Negro,0
452,2020-04-15T00:00:00,Fallecidos,Rivera,0
453,2020-04-15T00:00:00,Fallecidos,Rocha,0
454,2020-04-15T00:00:00,Fallecidos,Salto,0
455,2020-04-15T00:00:00,Fallecidos,San José,0
456,2020-04-15T00:00:00,Fallecidos,Soriano,0
